Company,label_clean,complaint_count,timely_rate
Avant Credit Corporation,credit_reporting,1,1.0
"Auto Advantage Finance, LLC",vehicle_loan_or_lease,1,1.0
POPULAR BANK,bank_account,1,1.0
"Associated Credit Services, Inc.",debt_collection,1,1.0
"Applied Data Finance, LLC",debt_collection,1,1.0
"National Credit Adjusters, LLC",debt_collection,1,1.0
"National Enterprise Systems, Inc.",debt_collection,1,1.0
NAVY FEDERAL CREDIT UNION,money_transfer,1,1.0
Riverwalk Financial Corporation,credit_reporting,1,1.0
"Rocket Mortgage, LLC",mortgage,1,1.0
RoundPoint Mortgage Servicing Corporation,debt_collection,1,1.0
RoundPoint Mortgage Servicing Corporation,mortgage,1,1.0
"WESTERN UNION COMPANY, THE",money_transfer,1,1.0
"WEBSTER BANK, NATIONAL ASSOCIATION",bank_account,1,1.0
"Rubin & Rothman, LLC",debt_collection,1,1.0
VALLEY NATIONAL BANCORP,bank_account,1,1.0
Utah System of Higher Education,credit_reporting,1,1.0
United Acceptance Inc.,vehicle_loan_or_lease,1,1.0
"Russell Collection Agency, Inc",debt_collection,1,1.0
UNITED SERVICES AUTOMOBILE ASSOCIATION,vehicle_loan_or_lease,1,1.0
PRESTIGE FINANCIAL SERVICES INC,vehicle_loan_or_lease,1,1.0
UMB FINANCIAL CORPORATION,bank_account,1,1.0
"SELECT PORTFOLIO SERVICING, INC.",debt_collection,1,1.0
U.S. BANCORP,mortgage,1,1.0
"Merchants and Professional Bureau, Inc.",debt_collection,1,1.0
U.S. BANCORP,credit_reporting,1,1.0
"TRIAD FINANCIAL SERVICES, INC.",consumer_loan,1,1.0
SHABANA MOTORS,vehicle_loan_or_lease,1,1.0
"Trident Asset Management, L.L.C.",debt_collection,1,1.0
TransferWise Ltd,money_transfer,1,1.0
"The Outsource Group, Inc",debt_collection,1,1.0
Texas Guaranteed,student_loan,1,1.0
"The Allen Daniel Associates, Inc.",debt_collection,1,1.0
"SANTANDER BANK, NATIONAL ASSOCIATION",bank_account,1,1.0
PORTFOLIO RECOVERY ASSOCIATES INC,credit_reporting,1,1.0
PORTFOLIO RECOVERY ASSOCIATES INC,debt_collection,1,1.0
"Paypal Holdings, Inc",credit_card_or_prepaid_card,1,1.0
"ACIMA CREDIT, LLC",debt_collection,1,1.0
"Pendrick Capital Partners Holding, LLC",debt_collection,1,1.0
Penn Credit Corporation,debt_collection,1,1.0
Perfection Collection,credit_reporting,1,1.0
"Peter T. Roach and Associates, P.C.",mortgage,1,1.0
Worth Finance Corporation,payday_loan_title_loan_or_personal_loan,1,1.0
WorldRemit Corp.,money_transfer,1,1.0
World Omni Financial Corp.,credit_reporting,1,1.0
"Platinum Holdings Group, LLC",debt_collection,1,1.0
WINNPOINTE CORPORATION,mortgage,1,0.0
World Acceptance Corporation,debt_collection,1,1.0
"Williams & Fudge, Inc",debt_collection,1,1.0
Profit Services Group,credit_reporting,1,0.0
Quality Asset Recovery LLC,credit_reporting,1,1.0
REGIONS FINANCIAL CORPORATION,credit_reporting,1,1.0
"Westlake Services, LLC",credit_reporting,1,1.0
Westcreek Financial,debt_collection,1,1.0
"Real Time Group, Inc.",mortgage,1,1.0
"Receivables Management Partners, LLC",debt_collection,1,1.0
"Receivables Outsourcing, Inc.",debt_collection,1,1.0
"Receivables Performance Management, LLC",credit_reporting,1,1.0
We Collect Inc,debt_collection,1,1.0
"Pollack & Rosen, P.A.",debt_collection,1,1.0
"C & M Associates Group, Inc.",debt_collection,1,1.0
CAPITAL ONE FINANCIAL CORPORATION,bank_account,1,1.0
CAPITAL ONE FINANCIAL CORPORATION,payday_loan_title_loan_or_personal_loan,1,1.0
"CCS Financial Services, Inc.",credit_reporting,1,1.0
"CHARLES SCHWAB CORPORATION, THE",bank_account,1,1.0
CHECK INTO CASH INC.,credit_card_or_prepaid_card,1,1.0
CHECK INTO CASH INC.,credit_reporting,1,1.0
"CIT BANK, NATIONAL ASSOCIATION",bank_account,1,1.0
"CITIBANK, N.A.",money_transfer,1,1.0
"CITIBANK, N.A.",money_transfers,1,1.0
"CITIBANK, N.A.",mortgage,1,1.0
"CITIZENS FINANCIAL GROUP, INC.",credit_reporting,1,1.0
"CITIZENS FINANCIAL GROUP, INC.",mortgage,1,1.0
COAST PROFESSIONAL INC,debt_collection,1,1.0
CREDIT ACCEPTANCE CORPORATION,debt_collection,1,1.0
BMO HARRIS BANK NATIONAL ASSOCIATION,mortgage,1,1.0
"Consumer Financial Services Solutions, Inc.",credit_reporting,1,1.0
"Conn's, Inc.",debt_collection,1,1.0
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",mortgage,1,1.0
Columbia Recovery Group LLC,debt_collection,1,0.0
"Colony Brands, Inc.",debt_collection,1,0.0
College Loan Corporation,debt_collection,1,1.0
"College Ave Student Loan Servicing, LLC",student_loan,1,1.0
CURO Intermediate Holdings,debt_collection,1,1.0
"Coinbase, Inc.",money_transfer,1,1.0
Clark County Collection Service,debt_collection,1,1.0
"Choice Recovery, Inc.",debt_collection,1,1.0
"Checkr, Inc",credit_reporting,1,1.0
Ceannate,student_loan,1,1.0
"Cascade Capital, LLC",debt_collection,1,1.0
"CarMax, Inc.",vehicle_loan_or_lease,1,1.0
"Capital Accounts, LLC",debt_collection,1,1.0
Collection Bureau of America Ltd.,debt_collection,1,0.0
ALLY FINANCIAL INC.,money_transfer,1,1.0
AMERICAN EXPRESS COMPANY,debt_collection,1,1.0
AMERISAVE MORTGAGE CORPORATION,mortgage,1,1.0
AVANTE,debt_collection,1,1.0
"Ability Recovery Services, LLC",debt_collection,1,1.0
Santander Consumer USA Holdings Inc.,debt_collection,1,1.0
BTH Management,debt_collection,1,1.0
"SUNTRUST BANKS, INC.",bank_account,1,1.0
"SUNTRUST BANKS, INC.",debt_collection,1,1.0
SYNCHRONY FINANCIAL,bank_account,1,1.0
SYNCHRONY FINANCIAL,payday_loan_title_loan_or_personal_loan,1,1.0
"ACIMA CREDIT, LLC",payday_loan_title_loan_or_personal_loan,1,1.0
Santander Consumer USA Holdings Inc.,payday_loan_title_loan_or_personal_loan,1,1.0
"Security Credit Services, LLC",debt_collection,1,1.0
Selene Finance LP,mortgage,1,1.0
Brown’s New Credit Bureau Inc.,debt_collection,1,0.0
Bridgecrest Acceptance Corporation,vehicle_loan_or_lease,1,1.0
"Bliksum, LLC",debt_collection,1,1.0
"Better Mortgage, Inc.",mortgage,1,0.0
Berco Finance Corp,credit_reporting,1,1.0
"American Financial Resources, Inc.",mortgage,1,1.0
TRANSWORLD SYSTEMS INC,debt_collection,1,1.0
TOYOTA MOTOR CREDIT CORPORATION,debt_collection,1,1.0
"Sequium Asset Solutions, LLC",debt_collection,1,1.0
TD BANK US HOLDING COMPANY,credit_reporting,1,1.0
TCF NATIONAL BANK,mortgage,1,1.0
TCF NATIONAL BANK,bank_account,1,1.0
Supreme Lending,mortgage,1,1.0
State Home Mortgage,mortgage,1,0.0
"State Collection Service, Inc.",debt_collection,1,1.0
"Seterus, Inc.",mortgage,1,1.0
"Servis One, Inc., Titusville, PA Branch",mortgage,1,1.0
TD BANK US HOLDING COMPANY,debt_collection,1,1.0
"Frontline Asset Strategies, LLC",debt_collection,1,1.0
"GLA Collection Company, Inc.",debt_collection,1,1.0
"GLOBAL CLIENT SOLUTIONS, LLC",student_loan,1,1.0
"Global Equity Finance, Inc.",mortgage,1,0.0
"Gurstel Law Firm, P.C.",debt_collection,1,1.0
"HCFS Health Care Financial Services, Inc.",debt_collection,1,1.0
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY (HESAA),student_loan,1,1.0
HSBC NORTH AMERICA HOLDINGS INC.,credit_card_or_prepaid_card,1,1.0
HSBC NORTH AMERICA HOLDINGS INC.,mortgage,1,1.0
"HUNTINGTON NATIONAL BANK, THE",mortgage,1,1.0
"Harpeth Financial Services, LLC",payday_loan_title_loan_or_personal_loan,1,1.0
"Helvey & Associates, Inc., Warsaw, IN Branch",debt_collection,1,1.0
"Herbert P. Sears Co., Inc.",debt_collection,1,1.0
Hillcrest Davidson & Assoc,debt_collection,1,1.0
"Home Loan Center, Inc.",money_transfer,1,1.0
"Continental Finance Company, LLC",debt_collection,1,1.0
"Merchants and Medical Credit Corporation, Inc.",credit_reporting,1,1.0
"Madison Management Services, LLC",debt_collection,1,1.0
"MVBA, L.L.C.",debt_collection,1,1.0
MUFG AMERICAS HOLDINGS CORPORATION,mortgage,1,1.0
MIDFIRST BANK,mortgage,1,1.0
"MCU Holdings, LLC",debt_collection,1,1.0
"MARINER FINANCE, LLC",credit_reporting,1,1.0
Home Point Financial Corporation,mortgage,1,1.0
LPSG,debt_collection,1,1.0
"LDF Holdings, LLC",payday_loan_title_loan_or_personal_loan,1,1.0
"Key 2 Recovery, Inc.",debt_collection,1,1.0
"Jim Bottin Enterprises, Inc",debt_collection,1,1.0
JPMORGAN CHASE & CO.,vehicle_loan_or_lease,1,1.0
"JH Portfolio Debt Equities, LLC",debt_collection,1,1.0
Instarem PTE Limited,money_transfer,1,1.0
"HomeTown Lenders, LLC",mortgage,1,1.0
Law Office of Harris & Zide,debt_collection,1,1.0
"Convergent Resources, Inc.",credit_reporting,1,1.0
Credit Corp Solutions Inc.,debt_collection,1,1.0
Creditors Bureau Associates,debt_collection,1,1.0
DISCOVER BANK,credit_reporting,1,1.0
"Direct Recovery Services, LLC",debt_collection,1,1.0
"ENOVA INTERNATIONAL, INC.",payday_loan_title_loan_or_personal_loan,1,1.0
ETHOS LENDING LLC,mortgage,1,1.0
EXCEL FINANCE COMPANY,payday_loan_title_loan_or_personal_loan,1,1.0
"Eagle Accounts Group, Inc.",credit_reporting,1,1.0
Earnest Inc.,student_loan,1,1.0
Eaton Group Attorneys LLC,debt_collection,1,1.0
Equitable Acceptance Corp,payday_loan_title_loan_or_personal_loan,1,1.0
Equitable Acceptance Corp,student_loan,1,1.0
Exeter Finance Corp.,debt_collection,1,1.0
Exeter Finance Corp.,vehicle_loan_or_lease,1,1.0
Franklin Credit Management Corporation,mortgage,1,1.0
Flandreau Santee Sioux Tribe,payday_loan_title_loan_or_personal_loan,1,1.0
FirstPoint Collection Resources,debt_collection,1,1.0
First Data Corporation,credit_reporting,1,1.0
First Associates Loan Servicing LLC,student_loan,1,1.0
"Financial Credit Service, Inc.",debt_collection,1,0.0
Financial Business and Consumer Solutions.,debt_collection,1,1.0
Finance of America Mortgage LLC,mortgage,1,1.0
Experian Information Solutions Inc.,credit_card_or_prepaid_card,1,1.0
"Fidelity National Information Services, Inc. (FNIS)",bank_account,1,1.0
FORD MOTOR CREDIT CO.,vehicle_loan_or_lease,1,1.0
FISERV INC.,debt_collection,1,1.0
FIRST NATIONAL BANK OF OMAHA,mortgage,1,1.0
"FIRST CITIZENS BANCSHARES, INC.",bank_account,1,1.0
FIFTH THIRD FINANCIAL CORPORATION,mortgage,1,1.0
FIFTH THIRD FINANCIAL CORPORATION,debt_collection,1,1.0
FIFTH THIRD FINANCIAL CORPORATION,credit_reporting,1,1.0
"Fidelity National Information Services, Inc. (FNIS)",credit_reporting,1,1.0
