company,label_standardized,category_display,complaint_count,timely_rate,late_response_count,high_risk_count,avg_narrative_word_count
M&T BANK CORPORATION,mortgage,Mortgage,3,1.0,0,1,294.0
"MARINER FINANCE, LLC",credit_reporting,Credit Reporting,1,1.0,0,0,67.0
"MCU Holdings, LLC",debt_collection,Debt Collection,1,1.0,0,1,401.0
MIDFIRST BANK,mortgage,Mortgage,1,1.0,0,1,390.0
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,money_transfer,Money Transfer,4,1.0,0,3,319.75
MUFG AMERICAS HOLDINGS CORPORATION,mortgage,Mortgage,1,1.0,0,1,328.0
"MVBA, L.L.C.",debt_collection,Debt Collection,1,1.0,0,0,288.0
"Madison Management Services, LLC",debt_collection,Debt Collection,1,1.0,0,0,157.0
"Merchants and Medical Credit Corporation, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,45.0
"Merchants and Professional Bureau, Inc.",debt_collection,Debt Collection,1,1.0,0,1,328.0
Merchants' Credit Guide Company,debt_collection,Debt Collection,1,1.0,0,0,224.0
"Midwest Fidelity Services, LLC",debt_collection,Debt Collection,1,1.0,0,0,277.0
Midwest Recovery Systems,debt_collection,Debt Collection,8,0.75,2,3,171.625
MoneyLion Inc.,bank_account,Bank Account,1,0.0,1,1,34.0
MoneyLion Inc.,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,1,305.0
NATIONSTAR MORTGAGE,mortgage,Mortgage,2,1.0,0,1,533.5
NAVY FEDERAL CREDIT UNION,bank_account,Bank Account,4,1.0,0,0,202.25
NAVY FEDERAL CREDIT UNION,credit_card_or_prepaid_card,Credit Card / Prepaid Card,1,1.0,0,0,238.0
NAVY FEDERAL CREDIT UNION,credit_reporting,Credit Reporting,1,1.0,0,0,87.0
NAVY FEDERAL CREDIT UNION,debt_collection,Debt Collection,2,1.0,0,2,421.0
NAVY FEDERAL CREDIT UNION,money_transfer,Money Transfer,1,1.0,0,0,147.0
NAVY FEDERAL CREDIT UNION,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,283.0
"NCC Business Services, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,149.0
NETSPEND CORPORATION,credit_card_or_prepaid_card,Credit Card / Prepaid Card,2,1.0,0,0,141.5
NISSAN MOTOR ACCEPTANCE CORPORATION,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,71.0
"NRA Group, LLC",credit_reporting,Credit Reporting,2,1.0,0,0,164.5
"National Credit Adjusters, LLC",debt_collection,Debt Collection,1,1.0,0,0,212.0
"National Enterprise Systems, Inc.",debt_collection,Debt Collection,1,1.0,0,1,373.0
"Navient Solutions, LLC.",credit_reporting,Credit Reporting,4,1.0,0,1,185.0
"Navient Solutions, LLC.",debt_collection,Debt Collection,1,1.0,0,0,190.0
"Navient Solutions, LLC.",student_loan,Student Loan,22,1.0,0,8,295.0
"Nelnet, Inc.",student_loan,Student Loan,5,1.0,0,2,257.4
"Northern Trust Company, The",debt_collection,Debt Collection,1,1.0,0,0,220.0
"ONEMAIN FINANCIAL HOLDINGS, LLC.",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,1,331.0
Ocwen Financial Corporation,mortgage,Mortgage,4,1.0,0,3,377.5
"Opportunity Financial, LLC",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,2,0.5,1,2,273.5
PENTAGON FEDERAL CREDIT UNION,credit_card_or_prepaid_card,Credit Card / Prepaid Card,1,1.0,0,1,354.0
PERLAND TITLE & ESCROW SERVICES CORP,debt_collection,Debt Collection,1,1.0,0,0,123.0
PHH Mortgage Services Corporation,mortgage,Mortgage,2,1.0,0,1,357.0
PNC Bank N.A.,bank_account,Bank Account,3,1.0,0,2,274.6666666666667
PNC Bank N.A.,mortgage,Mortgage,1,1.0,0,1,505.0
PNC Bank N.A.,payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,2,1.0,0,1,220.5
POPULAR BANK,bank_account,Bank Account,1,1.0,0,1,400.0
PORTFOLIO RECOVERY ASSOCIATES INC,credit_reporting,Credit Reporting,1,1.0,0,0,145.0
PORTFOLIO RECOVERY ASSOCIATES INC,debt_collection,Debt Collection,1,1.0,0,0,207.0
PRESTIGE FINANCIAL SERVICES INC,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,182.0
"Paypal Holdings, Inc",credit_card_or_prepaid_card,Credit Card / Prepaid Card,1,1.0,0,0,243.0
